TweetID,retweets_count
1184643,0
1199190,0
917372,3
731754,2
1400049,0
1351254,0
917812,0
45946,0
465480,3
1364403,5
1111065,0
1181730,3
699449,0
327293,0
697094,1
281997,1
1033751,2
460455,0
716351,8
608415,0
85259,0
676086,1
452616,1
1148559,1
1273056,1
916736,1
1087955,0
1264906,0
158775,1
1023871,0
917998,0
386392,16
192921,3
880904,0
620048,1
1274995,0
376526,1
41198,0
284434,0
1152853,1
1400321,0
453135,2
690391,0
206771,1
1268156,0
661987,0
1018667,0
414419,3
210016,2
528716,0
723949,0
292045,7
127035,0
75561,1
606468,50
905260,4
796354,0
1322660,1
1154063,1
601246,2
204821,0
729121,1
726573,0
784552,0
1398775,1
1278216,1
338932,0
449869,0
1306978,0
609713,1
164384,0
155800,0
373535,0
1349206,0
791652,1
768747,0
582732,6
457839,2
780318,1
1100429,0
486159,0
940874,0
1154255,0
129916,0
184998,0
361267,13
1124822,1
43163,3
1017849,1
860704,0
135222,1
1112983,0
675350,1
1084857,0
462144,1
315820,0
719607,0
272453,0
1348727,0
558701,0
85453,0
297972,0
906388,0
367684,29
864268,0
1024998,0
616404,0
1242615,1
722013,2
828386,1
851668,0
1328420,0
334111,0
153383,1523
586953,2
1151687,0
439737,0
991384,1
5414,0
561990,1
56140,0
108113,0
437410,2
505158,1
881807,1
1210882,1
149913,10
894916,1
161970,0
65105,0
1375627,0
507294,2
322453,0
611531,0
921651,1
1002168,0
484329,1
999042,1
935883,0
133746,0
1111383,0
972669,5
626400,1
1334144,0
1372918,4
901255,1
244819,6
688569,1
470064,6
165143,0
1186310,0
1404175,0
1263717,1
778177,0
277709,1
1326837,0
1205121,2
310325,0
1412963,0
281707,1
1128688,0
467333,0
985358,4
1413275,1
1005340,0
1142898,0
776232,1
1141122,1
847868,0
1411418,1
429108,1
1151004,0
677857,1
613844,1
1056751,8
882566,1
1235839,0
1210081,0
571479,0
1308127,26
1255431,1
451299,1
693054,0
1338848,2
1335620,1
705981,55
673207,1
179000,3
33835,1
1381413,1
684551,0
1384500,1
901393,1
1084086,1
289303,0
1001277,3
193281,1
163230,2
704856,1
787430,0
302077,1
1022808,0
418097,1
983848,0
50009,0
106860,0
380734,1
965347,0
760750,0
472610,1
889746,0
562822,1
551192,1
714973,0
612465,0
726185,0
590310,0
449210,0
163359,8
141047,0
985167,5
212361,2
318711,0
1286932,0
87627,0
912207,1
1076568,1
467476,2
321675,0
441877,0
1286119,1
819651,1
1086013,0
168459,2
1248735,1
1059170,0
546015,1
773425,0
1145610,0
854196,0
1063453,0
1102448,1
1137669,1
855138,1
397207,0
694654,0
1351277,1
1210057,0
953687,0
266853,2
1045239,2
188533,9
424735,6
249962,0
550460,0
1157334,1
27841,1
333036,0
375423,18
630008,1
887195,0
1157391,2
1027752,1
106010,72
341616,1
1158808,1
1067614,0
1168628,0
114868,1
375668,1
744616,0
113087,1
41736,4
1262099,0
1281223,0
625682,160
561284,1
1059079,1
180470,1
598145,5
608396,1
1172925,8
391854,1
298969,0
627413,20
1083798,1
46574,6
512275,1
482864,2
441933,4
540313,0
421166,1
472145,1
910863,0
1252112,0
200390,0
1113203,250
798522,1
1187309,1
12490,0
86727,0
649543,13
442552,0
713905,1
1427826,0
997994,10
1072720,1
964033,0
515800,1
443069,31
772478,0
1393016,2
526559,0
1248629,0
1124025,0
611651,0
976374,1
538522,0
878663,0
630974,1
287288,0
744506,3
690201,0
722122,1
1015908,1
1098805,0
461547,2
312223,0
525580,1
489245,0
42882,1
151778,652
720871,15
912131,2
690662,0
303241,0
378796,0
849924,1
1061205,0
175964,1
528627,0
110016,1
83871,1
456584,1
1013368,1
928856,1
949849,0
645198,1
647574,1
267608,0
868994,0
1100978,1
557775,0
1374623,0
65734,1
21623,629
564636,0
1289169,1
148987,1
857426,0
